experiment_id,pharmacodb_cell_id,cell_uid,cell_name,depmap_id,in_gdsc_train,in_gdsc_val_or_test,in_gdsc_response,pharmacodb_compound_id,compound_uid,ctrp_compound_name,gdsc_pubchem_id,gdsc_drug_name,match_type,aac,resistance_rank,ic50,ec50,hs,einf,dss1,dss2,dss3
3333809,919,NCIH211_1068_2019,NCI-H211,ACH-000639,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.44780208,-0.44780208,0.28224325,0.27878777,4.0,2.40398043,,,
3335791,920,NCIH2110_1069_2019,NCI-H2110,ACH-000929,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.00733695,-0.00733695,,2.86483003,4.0,96.87662883,,,
3337867,921,NCIH2122_1070_2019,NCI-H2122,ACH-000311,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.03439046,-0.03439046,,0.51305669,4.0,91.4068679,,,
3339897,922,NCIH2126_1071_2019,NCI-H2126,ACH-000785,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.09079236,-0.09079236,,0.1083668,2.38669336,83.48188014,,,
3343892,925,NCIH2170_1074_2019,NCI-H2170,ACH-000481,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.17585879,-0.17585879,3.38288232,2.83009051,4.0,25.50802862,,,
3346539,927,NCIH2172_1076_2019,NCI-H2172,ACH-000924,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.02960712,-0.02960712,,0.24877914,4.0,93.69764007,,,
3347652,928,NCIH2196_1077_2019,NCI-H2196,ACH-000399,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.32622356,-0.32622356,0.59597547,0.25608612,0.80847561,24.7427,,,
3351270,932,NCIH2286_1083_2019,NCI-H2286,ACH-000912,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.2126922,-0.2126922,,0.1526121,1.11140646,56.05388349,,,
3351919,933,NCIH2291_1084_2019,NCI-H2291,ACH-000718,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.12376177,-0.12376177,,0.33626846,4.0,69.26991022,,,
3422280,934,NCIH23_1085_2019,NCI-H23,ACH-000900,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.05211384,-0.05211384,,0.74365888,1.73961252,85.70681178,,,
3434648,936,NCIH2342_1086_2019,NCI-H2342,ACH-000951,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.12806184,-0.12806184,32.80190932,2.31027649,2.37510364,49.90831631,,,
3437765,938,NCIH2405_1090_2019,NCI-H2405,ACH-000121,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.02484234,-0.02484234,,0.57338742,4.0,93.62237016,,,
3442215,943,NCIH292_1103_2019,NCI-H292,ACH-001075,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0,-0.0,,0.00273168,0.9269436,100.0,,,
3445041,945,H322T_435_2019,NCI-H322,ACH-000837,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0,-0.0,,8.3,1.0,100.0,,,
3525420,949,NCIH358_1110_2019,NCI-H358,ACH-000860,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.09560335,-0.09560335,8.98111365,8.33400945,1.28194964,4.57058475,,,
3527148,951,NCIH441_1112_2019,NCI-H441,ACH-000638,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.09839749,-0.09839749,,0.37701828,1.81743673,74.83761887,,,
3529249,952,NCIH446_1113_2019,NCI-H446,ACH-000800,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.16182373,-0.16182373,16.66106267,16.66106267,0.52383664,0.0,,,
3599137,953,NCIH460_1114_2019,NCI-H460,ACH-000463,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.029125,-0.029125,,2.88351273,0.0,94.175,,,
3599138,953,NCIH460_1114_2019,NCI-H460,ACH-000463,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0,-0.0,,0.9794317,1.13692727,100.0,,,
3679315,957,NCIH522_1118_2019,NCI-H522,ACH-000343,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.03661177,-0.03661177,23.97556981,23.97556981,4.0,0.0,,,
3691791,959,NCIH526_1120_2019,NCI-H526,ACH-000767,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.04664475,-0.04664475,,0.10325371,4.0,91.58491414,,,
3694929,962,NCIH647_1124_2019,NCI-H647,ACH-000378,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.02114229,-0.02114229,,1.02679929,4.0,93.66092182,,,
3696562,963,NCIH650_1125_2019,NCI-H650,ACH-000945,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0,-0.0,,0.0081,1.0,100.0,,,
3699077,964,NCIH661_1127_2019,NCI-H661,ACH-000853,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.01301687,-0.01301687,,1.49571099,4.0,95.62265729,,,
3700824,965,NCIH69_1129_2019,NCI-H69,ACH-000358,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.33929,-0.33929,0.22208073,0.18271379,4.0,27.09070316,,,
3703605,968,NCIH727_1133_2019,NCI-H727,ACH-000775,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.05802379,-0.05802379,,0.27215037,0.6450425,87.48933705,,,
3705498,971,NCIH810_1138_2019,NCI-H810,ACH-000789,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.15534377,-0.15534377,6.72165706,6.72165706,1.89873768,0.0,,,
3708421,975,NCIH838_1142_2019,NCI-H838,ACH-000416,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.02203506,-0.02203506,,2.43659392,4.0,91.20237253,,,
3710886,976,NCIH841_1143_2019,NCI-H841,ACH-000292,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.08985945,-0.08985945,15.28737468,15.28737468,0.84387622,0.0,,,
3712783,978,NCIH889_1147_2019,NCI-H889,ACH-000297,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.57043945,-0.57043945,0.07473605,0.07319163,2.84398502,2.88288108,,,
3721795,984,RERFLCAI_1303_2019,RERF-LC-A1,ACH-000261,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.07916807,-0.07916807,7.68223101,7.24664387,4.0,10.41157457,,,
3723689,985,RERFLCAd1_1301_2019,RERF-LC-Ad1,ACH-000791,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.09833561,-0.09833561,,0.07266239,0.42704966,82.00935341,,,
3725658,986,RERFLCAd2_1302_2019,RERF-LC-Ad2,ACH-000774,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.00547464,-0.00547464,,0.46536617,1.64146349,98.66353817,,,
3730146,989,RERFLCMS_1306_2019,RERF-LC-MS,ACH-000062,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.03918407,-0.03918407,,1.97519879,1.42818847,85.58545736,,,
3734207,993,SBC5_1349_2019,SBC-5,ACH-000670,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.05837899,-0.05837899,9.89147368,9.89147368,4.0,0.0,,,
3735988,996,SHP77_1375_2019,SHP-77,ACH-000790,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.05617451,-0.05617451,,0.45459632,0.99191079,86.39792123,,,
3740692,998,SKMES1_1401_2019,SK-MES-1,ACH-000665,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.03910172,-0.03910172,23.20493378,23.20493378,4.0,0.0,,,
3750085,1002,Sq1_1494_2019,Sq-1,ACH-000553,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.28487249,-0.28487249,0.98882289,0.86324148,3.43794906,18.65426786,,,
3752043,1003,T3M10_1556_2019,T3M-10,ACH-000813,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.29109129,-0.29109129,0.58626572,0.2490293,1.66924637,38.02513429,,,
3755098,1009,697_26_2019,697,ACH-000070,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.44581898,-0.44581898,0.21237811,0.20213942,4.0,8.96682984,,,
3756363,1010,A3KAW_41_2019,A3/Kawakami,ACH-000697,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.04704721,-0.04704721,21.01118395,21.01118395,4.0,0.0,,,
3757522,1011,A4Fuk_44_2019,A4/Fukuda,ACH-000157,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.10504817,-0.10504817,,2.3881494,0.71845078,61.20490048,,,
