pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
44224257,474,ARRY-520,KIF11,Mitosis
9858940,476,SB505124,"TGFBR1, ACVR1B, ACVR1C",RTK signaling
16218924,477,A-83-01,TGFB,Other
25195294,478,LDN-193189,BMP,Other
107969,546,FTY-720,S1P,Other
3101542,552,BAM7,Bax activator,Other
71299339,562,AGI-6780,IDH2(R140Q),Metabolism
3827738,563,Kobe2602,RAS effector,RTK signaling
46926973,573,LGK974,PORCN,WNT signaling
57519544,574,Wnt-C59,PORCN,WNT signaling
46006640,576,RU-SKI 43,Shh,Other
65110,1001,AICA Ribonucleotide,AMPK agonist,Metabolism
24360,1003,Camptothecin,TOP1,DNA replication
6710780,1004,Vinblastine,Microtubule destabiliser,Mitosis
84691,1005,Cisplatin,DNA crosslinker,DNA replication
6253,1006,Cytarabine,Antimetabolite,Other
148124,1007,Docetaxel,Microtubule stabiliser,Mitosis
126941,1008,Methotrexate,Antimetabolite,DNA replication
444795,1009,Tretinoin,Retinoic acid,Other
123631,1010,Gefitinib,EGFR,EGFR signaling
24978538,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation
5311,1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation
644241,1013,Nilotinib,ABL,ABL signaling
44182295,1014,Refametinib,"MEK1, MEK2",ERK MAPK signaling
6918454,1015,CI-1040,"MEK1, MEK2",ERK MAPK signaling
6918289,1016,Temsirolimus,MTOR,PI3K/MTOR signaling
23725625,1017,Olaparib,"PARP1, PARP2",Genome integrity
11960529,1018,Veliparib,"PARP1, PARP2",Genome integrity
5328940,1019,Bosutinib,"SRC, ABL, TEC","Other, kinases"
216326,1020,Lenalidomide,CRBN,Protein stability and degradation
6450551,1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling
11152667,1022,AZD7762,"CHEK1, CHEK2",Cell cycle
9943465,1023,GW441756,NTRK1,RTK signaling
126565,1024,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases"
176158,1025,SB216763,"GSK3A, GSK3B",WNT signaling
6505803,1026,Tanespimycin,HSP90,Protein stability and degradation
10341154,1028,VX-702,p38,JNK and p38 signaling
11667893,1029,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling
5278396,1030,KU-55933,ATM,Genome integrity
300471,1031,Elesclomol,HSP90,Protein stability and degradation
10184653,1032,Afatinib,"EGFR, ERBB2",EGFR signaling
24776445,1033,Vismodegib,SMO,Other
44259,1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling
24180719,1036,PLX-4720,BRAF,ERK MAPK signaling
10077147,1037,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases"
11327430,1038,NU7441,DNAPK,Genome integrity
10459196,1039,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases"
156422,1042,Doramapimod,"p38, JNK2",JNK and p38 signaling
11624601,1043,JNK Inhibitor VIII,JNK,JNK and p38 signaling
10384072,1046,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle
11433190,1047,Nutlin-3a (-),MDM2,p53 pathway
1206243,1048,Mirin,MRE11,Genome integrity
1401,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling
9914412,1050,ZM447439,"AURKA, AURKB",Mitosis
135400873,1052,RO-3306,CDK1,Cell cycle
46930998,1053,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling
5330286,1054,Palbociclib,"CDK4, CDK6",Cell cycle
11977753,1057,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling
17755052,1058,Pictilisib,PI3K (class 1),PI3K/MTOR signaling
25262965,1059,AZD8055,"MTORC1, MTORC2",PI3K/MTOR signaling
9826528,1060,PD0325901,"MEK1, MEK2",ERK MAPK signaling
135421339,1061,SB590885,BRAF,ERK MAPK signaling
10127622,1062,Selumetinib,"MEK1, MEK2",ERK MAPK signaling
2314623,1067,CCT007093,PPM1D,Cell cycle
9938202,1069,EHT-1864,"RAC1, RAC2, RAC3",Cytoskeleton
117918970,1070,CRT0105950,"JNK1, JNK2, JNK3",JNK and p38 signaling
60838,1088,Irinotecan,TOP1,DNA replication
5310940,1089,Oxaliplatin,DNA alkylating agent,DNA replication
85668777,1114,Cetuximab,EGFR,EGFR signaling
51371303,1129,PF-4708671,S6K1,PI3K/MTOR signaling
52918385,1131,PRIMA-1MET,TP53 activation,p53 pathway
11609586,1133,Serdemetan,MDM2,p53 pathway
51039095,1135,AZD4547,"FGRF1, FGFR2, FGFR3",RTK signaling
25227436,1136,Capivasertib,AKT,PI3K/MTOR signaling
25226483,1142,HG-5-113-01,AURKA,Mitosis
25226117,1143,HG-5-88-01,"TAK1, M4K2","Other, kinases"
11455910,1149,TW 37,"BCL2, BCL-XL, MCL1",Apoptosis regulation
46843906,1157,XMD11-50,"LRRK2, ERK5","Other, kinases"
42628535,1158,XMD11-85h,"LRRK2, ERK5","Other, kinases"
57340680,1161,ZG-10,JNK1,JNK and p38 signaling
46843772,1164,XMD8-92,ERK5,ERK MAPK signaling
984170,1170,CCT-018159,HSP90,Protein stability and degradation
9931953,1175,Rucaparib,"PARP1, PARP2",Genome integrity
24958200,1177,Niraparib,"PARP1, PARP2",Genome integrity
24856436,1179,MK-1775,"WEE1, PLK1",Cell cycle
46926350,1180,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle
46244454,1184,AZ20,ATR,Genome integrity
15953870,1185,KU-60019,ATM,Genome integrity
117996541,1187,CCT245232,HSF1,Unclassified
2733526,1199,Tamoxifen,ESR1,Hormone-related
104741,1200,Fulvestrant,ESR,Hormone-related
71271629,1219,PFI-1,BRD4,Chromatin other
54685215,1230,IOX2,EGLN1,Other
52912189,1232,I-BET-151,"BRD2, BRD3, BRD4",Chromatin other
56962336,1237,EPZ004777,DOT1L,Chromatin histone methylation
44632017,1239,YK-4-279,RNA helicase A,Other
9863776,1242,(5Z)-7-Oxozeaenol,TAK1,"Other, kinases"
637858,1243,Piperlongumine,Induces reactive oxygen species,Other
6914657,1248,Daporinad,NAMPT,Metabolism
25099184,1250,AZ960,"JAK2, JAK3","Other, kinases"
71729975,1254,GSK-J4,KDM6B,Chromatin histone methylation
135565082,1259,Talazoparib,"PARP1, PARP2",Genome integrity
57339144,1262,UNC1215,L3MBTL3,Chromatin other
53315878,1263,UNC0642,"G9A, GLP",Chromatin histone methylation
56962337,1264,SGC0946,DOT1L,Chromatin histone methylation
