pharmacodb_compound_id,compound_uid,ctrp_compound_name,ctrp_pubchem,ctrp_inchikey,ctrp_smiles,gdsc_pubchem_id,gdsc_drug_name,gdsc_inchikey,match_type
30424,PDBC02048,Cediranib,9933475,,,9933475,Cediranib,XXJWYDDUDKYVKI-UHFFFAOYSA-N,pubchem
31373,PDBC02065,Dabrafenib,44462760,,,44462760,Dabrafenib,BFSMGDJOXZAERB-UHFFFAOYSA-N,pubchem
31378,PDBC00047,Dactolisib,11977753,,,11977753,Dactolisib,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,pubchem
32282,PDBC02055,Dinaciclib,46926350,,,46926350,Dinaciclib,PIMQWRZWLQKKBJ-UHFFFAOYSA-N,pubchem
32375,PDBC00007,Docetaxel,148124,,,148124,Docetaxel,ZDZOTLJHXYCWBA-UHFFFAOYSA-N,pubchem
32665,PDBC00135,Entinostat,4261,,,4261,Entinostat,INVTYAOGFAGBOE-UHFFFAOYSA-N,pubchem
34384,PDBC00154,GSK1059615,23582824,,,23582824,GSK1059615,QDITZBLZQQZVEE-UHFFFAOYSA-N,pubchem
35127,PDBC02026,Ibrutinib,24821094,,,24821094,Ibrutinib,XYFPWWZEPKGCCK-UHFFFAOYSA-N,pubchem
35711,PDBC02021,LRRK2-IN-1,46843906,,,46843906,XMD11-50,IWMCPJZTADUIFX-UHFFFAOYSA-N,pubchem
36171,PDBC00045,MK-2206,46930998,,,46930998,MK-2206,HWUHTJIKQZZBRA-UHFFFAOYSA-N,pubchem
41906,PDBC00172,NSC19630,227681,,,227681,MIRA-1,YXEWPGYLMHXLPS-UHFFFAOYSA-N,pubchem
53088,PDBC00150,Trametinib,11707110,,,11707110,Trametinib,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,pubchem
53572,PDBC02030,Venetoclax,49846579,,,49846579,Venotoclax,LQBVNQSMGBZMKD-UHFFFAOYSA-N,pubchem
53782,PDBC00137,Z-Leu-leu-leu-al,462382,,,462382,MG-132,TZYWCYJVHRLUCT-UHFFFAOYSA-N,pubchem
34377,PDBC02076,GSK-J4,71729975,,,71729975,GSK-J4,WBKCKEHGXNWYMO-UHFFFAOYSA-N,pubchem
53085,PDBC00111,Tozasertib,5494449,,,5494449,Tozasertib,GCIKSSRWRFVXBI-UHFFFAOYSA-N,pubchem
