,pc1,pc2,split,modality
ACH-000846,-3.4931787605681586,-3.210573081281199,train,methylation
ACH-000718,-2.0957517851237903,-3.4825282653594622,train,methylation
ACH-000260,-8.180619778831907,-0.5951459915356057,train,methylation
ACH-000997,4.935642332466237,-4.434986978695562,train,methylation
ACH-000567,35.680056376207766,-11.02905079659056,train,methylation
ACH-000910,-7.055001383830335,-4.940768072183215,train,methylation
ACH-000860,-3.087697848757095,-5.091777956452307,train,methylation
ACH-000223,-2.723866310572029,0.8670587832111948,train,methylation
ACH-000787,-6.6141392889349815,1.0144791021122253,train,methylation
ACH-000696,-1.1652313728059467,-3.6276106516020237,train,methylation
ACH-000273,-6.76996134549757,-2.226397621261358,train,methylation
ACH-000776,-5.719636740424689,-0.9030239928298645,train,methylation
ACH-000104,22.302315126947207,-13.46775820971763,train,methylation
ACH-000957,-3.7469848431088293,0.5094579117918573,train,methylation
ACH-000139,-6.646985229626693,0.7627575928422654,train,methylation
ACH-000565,-4.841330170934065,-2.807880279853694,train,methylation
ACH-000177,5.756612375039699,17.65762415994928,train,methylation
ACH-000476,0.8407166170310006,-1.340192842992276,train,methylation
ACH-000373,1.3399994058641,-3.2240348165630657,train,methylation
ACH-000812,-5.3887016191148795,-2.3527511446531295,train,methylation
ACH-000336,-1.494545989825403,-2.679444582693588,train,methylation
ACH-000040,-1.8570336717512368,-0.5439507881472464,train,methylation
ACH-000087,-6.352079859443405,-0.13877225138958627,train,methylation
ACH-000072,-9.525854812968747,-0.632750409669745,train,methylation
ACH-000353,-6.170058217449968,-0.8040026778403977,train,methylation
ACH-000298,-6.1538490232554794,0.8338414044059116,train,methylation
ACH-000838,19.563097387274823,9.654608523851131,train,methylation
ACH-000989,-7.564000561205834,-0.3346224396023393,train,methylation
ACH-000437,-6.22801731291561,0.10859205588602211,train,methylation
ACH-000197,30.43857308903166,-16.298486011092155,train,methylation
ACH-000114,-5.401784103098726,2.003396768128331,train,methylation
ACH-000473,-4.316811627547046,0.4348214183389993,train,methylation
ACH-000789,-5.532566619292561,0.9321934306829726,train,methylation
ACH-000689,-5.163287430323527,-0.25396774938790506,train,methylation
ACH-000980,-7.601107581885451,-0.4829446514234693,train,methylation
ACH-000362,2.8522142151209406,10.189172608170828,train,methylation
ACH-000098,-5.088725679534709,2.0609290595605176,train,methylation
ACH-000956,-1.2406928905470886,7.5873776379854085,train,methylation
ACH-000817,-6.562119354422927,0.3632169399585036,train,methylation
ACH-000410,-7.720594344149048,1.4340162973826494,train,methylation
ACH-000563,11.47973102085089,10.294008769070812,train,methylation
ACH-000699,6.764591413007677,13.452114050473277,train,methylation
ACH-000501,6.022012214796745,8.595962942842597,train,methylation
ACH-000863,3.490134281923632,11.776897433576892,train,methylation
ACH-000008,-6.859186745363359,-1.0948735771042997,train,methylation
ACH-000505,3.4729062186815054,5.928666449494182,train,methylation
ACH-000937,10.122577786717425,-7.195150488816424,train,methylation
ACH-000210,-5.879846585027427,-0.4259255901183628,train,methylation
ACH-000443,15.867205358805737,25.8389433447905,train,methylation
ACH-000888,-8.196904637006272,-0.15992576871222655,train,methylation
ACH-000423,-2.282310654466735,-2.541078760508868,train,methylation
ACH-000971,5.39652240498079,-7.792649070025529,train,methylation
ACH-000355,-6.986318594284172,1.37264599279011,train,methylation
ACH-000204,6.166075387648826,0.47949992034022865,train,methylation
ACH-000580,17.130193465710704,23.51558155086034,train,methylation
ACH-000427,1.8507730436927894,-7.313224011299437,train,methylation
ACH-000135,-9.365884784644399,-0.02386306549867526,train,methylation
ACH-000107,-4.741976609084389,-3.385047919466988,train,methylation
ACH-000078,-10.207271948179347,-0.7632607111291208,train,methylation
ACH-000530,-3.2831715138550974,7.951054190581192,train,methylation
ACH-000650,-4.599465866766273,0.9579683516182463,train,methylation
ACH-000396,-1.8364088337932083,2.530007698424972,train,methylation
ACH-000934,-3.6677284501675205,-2.35502278431361,train,methylation
ACH-000070,28.81699928739516,2.2386828692834317,train,methylation
ACH-000821,2.0483623540188587,14.535399152482395,train,methylation
ACH-000451,-4.876981213620573,1.0820257103179174,train,methylation
ACH-000515,-6.40610461990084,3.4467137480220935,train,methylation
ACH-000744,-8.281248519319304,-0.9157636493581806,train,methylation
ACH-000572,-8.582142214777052,-0.5903483913463934,train,methylation
ACH-000345,-5.341859675478084,3.313413811931061,train,methylation
ACH-000767,-8.518082193326528,1.735954970077996,train,methylation
ACH-000885,-7.856739979411523,-1.5901763028586289,train,methylation
ACH-000291,0.8778872227087029,10.532400033351,train,methylation
ACH-000136,2.406376765705142,5.531860660525843,train,methylation
ACH-000287,32.35563552910381,6.657227658124155,train,methylation
ACH-000264,-3.852518899432505,-4.2471553967132785,train,methylation
ACH-000983,-0.8205724470503852,-4.874750834711389,train,methylation
ACH-000019,-1.6532654013259842,-3.7070274716127147,train,methylation
ACH-000648,2.2190109003163463,2.0509068575861207,train,methylation
ACH-000965,1.3094976193206853,-3.1492989274139105,train,methylation
ACH-000138,-0.3156354602496528,9.897073251116025,train,methylation
ACH-000603,-7.560621994213384,0.2633586380163195,train,methylation
ACH-000046,-5.562885328656666,-1.831153974961376,train,methylation
ACH-000332,-2.5975745810790656,-1.4751180095788294,train,methylation
ACH-000096,-2.331662188975897,-0.9879230949734071,train,methylation
ACH-000745,7.142979982167022,11.082386511069323,train,methylation
ACH-000955,-0.8815070878298209,-0.4155773661039388,train,methylation
ACH-000847,8.022818877345907,10.658181083837315,train,methylation
ACH-000429,2.3497072061774458,-4.221815996852924,train,methylation
ACH-000794,-1.0451567716517876,-4.778636418386966,train,methylation
ACH-000559,-5.416231545459158,-1.0808269337429048,train,methylation
ACH-000960,14.647888064006231,-13.384226691796714,train,methylation
ACH-000905,-4.501083374805613,0.6204104223805741,train,methylation
ACH-000664,25.593407412089658,-10.470021629830434,train,methylation
ACH-000465,-7.02327708157975,-1.3254930351639247,train,methylation
ACH-000411,-2.7064615609903453,-1.138293761655219,train,methylation
ACH-000421,0.5651868008447954,-5.039239087226826,train,methylation
ACH-000587,-1.18215099050054,-5.515368433492157,train,methylation
ACH-000950,0.9729971179557639,-3.19409451217835,train,methylation
ACH-000491,-4.7537904727442095,-3.3403094592598332,train,methylation
ACH-000998,-0.31443116231882984,-4.26063514078162,train,methylation
ACH-000951,-6.317513781074748,0.6947218157236912,train,methylation
ACH-000609,4.703993631868487,-2.9372159429425984,train,methylation
ACH-000688,-5.92536659504857,2.6178620959867005,train,methylation
ACH-000534,3.4863266266574247,-9.769685238779562,train,methylation
ACH-000947,-6.268468399962849,-3.1491506985875692,train,methylation
ACH-000399,-4.5362507492392465,0.9038115761699145,train,methylation
ACH-000343,-7.873927936087385,1.453052142072398,train,methylation
ACH-000103,-6.877118459334908,0.14437941052665376,train,methylation
ACH-000430,30.783771140347962,12.839416432910262,train,methylation
ACH-000784,-4.568551064197905,-3.9038972408695845,train,methylation
ACH-000378,-7.709750834585473,-0.20430322738293272,train,methylation
ACH-000616,6.509225536496022,3.981529405646965,train,methylation
ACH-000514,-6.293861291276381,1.5885137734172479,train,methylation
ACH-000221,-1.259553170188872,-1.592924868440395,train,methylation
ACH-000116,-8.945229517803703,-0.1415045368326154,train,methylation
ACH-000763,4.89425709173928,8.120940203863258,train,methylation
ACH-000004,0.5208553083443009,-3.400307968737331,train,methylation
ACH-000924,-9.659767933339117,-1.4665069407598315,train,methylation
ACH-000702,27.629869929762187,12.447031501325442,train,methylation
ACH-000112,-4.600583341365705,1.4731288342218913,train,methylation
ACH-000814,-5.699190581815422,1.4688384571579858,train,methylation
ACH-000168,4.6337098501673735,8.887532293742442,train,methylation
ACH-000408,-2.9359391613907517,-1.2104427922483096,train,methylation
ACH-000082,1.207652454934489,2.063154829099915,train,methylation
ACH-000828,-1.3291379068153104,-0.6208450426813088,train,methylation
ACH-000522,3.9221293996677753,-1.0592680141443918,train,methylation
ACH-000824,-6.947843353129288,-4.117390803310703,train,methylation
ACH-000874,13.96782731123071,-10.750975959337785,train,methylation
ACH-000855,-2.2291096857819417,-7.570691274448224,train,methylation
ACH-000717,-5.307777335433427,-0.5466676663015788,train,methylation
ACH-000188,-4.734693528950383,2.4442569279296493,train,methylation
