tissue,drug_name,n_cells,scc_bcgdrp,scc_drugmean,drugmean_reason
BREAST,Cytarabine,37,0.36510194404931245,,"constant within a drug, rank undefined"
BREAST,Dabrafenib,41,0.05557491289198607,,"constant within a drug, rank undefined"
BREAST,Dactolisib,41,0.1961672473867596,,"constant within a drug, rank undefined"
BREAST,Daporinad,21,0.33506493506493507,,"constant within a drug, rank undefined"
BREAST,Dasatinib,41,0.5952961672473869,,"constant within a drug, rank undefined"
BREAST,Dinaciclib,37,0.2631578947368421,,"constant within a drug, rank undefined"
BREAST,Docetaxel,42,0.3170731707317073,,"constant within a drug, rank undefined"
BREAST,Doramapimod,40,0.2816135084427768,,"constant within a drug, rank undefined"
BREAST,EHT-1864,40,0.02288930581613509,,"constant within a drug, rank undefined"
BREAST,EPZ004777,41,-0.1693379790940767,,"constant within a drug, rank undefined"
BREAST,EPZ5676,41,-0.060452961672473875,,"constant within a drug, rank undefined"
BREAST,Entinostat,40,0.19455909943714825,,"constant within a drug, rank undefined"
BREAST,Entospletinib,37,-0.24466571834992884,,"constant within a drug, rank undefined"
BREAST,Epirubicin,41,0.03101045296167248,,"constant within a drug, rank undefined"
BREAST,Erlotinib,41,0.290418118466899,,"constant within a drug, rank undefined"
BREAST,Foretinib,40,0.37354596622889313,,"constant within a drug, rank undefined"
BREAST,Fulvestrant,41,0.21689895470383277,,"constant within a drug, rank undefined"
BREAST,GDC0810,41,0.13501742160278749,,"constant within a drug, rank undefined"
BREAST,GNE-317,40,0.15722326454033772,,"constant within a drug, rank undefined"
BREAST,GSK1904529A,41,0.05801393728222998,,"constant within a drug, rank undefined"
BREAST,GSK2578215A,41,0.09006968641114985,,"constant within a drug, rank undefined"
BREAST,GSK2606414,37,0.08724513987671882,,"constant within a drug, rank undefined"
BREAST,GSK269962A,39,0.07692307692307694,,"constant within a drug, rank undefined"
BREAST,GSK2830371,37,0.038406827880512084,,"constant within a drug, rank undefined"
BREAST,GSK343,37,0.10739687055476528,,"constant within a drug, rank undefined"
BREAST,GSK591,41,-0.06689895470383277,,"constant within a drug, rank undefined"
BREAST,GW441756,38,0.09683772841667579,,"constant within a drug, rank undefined"
BREAST,Gefitinib,41,0.2961672473867596,,"constant within a drug, rank undefined"
BREAST,Gemcitabine,41,0.0888501742160279,,"constant within a drug, rank undefined"
BREAST,I-BET-762,37,-0.032716927453769556,,"constant within a drug, rank undefined"
BREAST,I-BRD9,41,0.25452961672473867,,"constant within a drug, rank undefined"
BREAST,IWP-2,37,0.22901849217638687,,"constant within a drug, rank undefined"
BREAST,Ibrutinib,35,0.19299719887955183,,"constant within a drug, rank undefined"
BREAST,Ipatasertib,41,0.23832752613240424,,"constant within a drug, rank undefined"
BREAST,Irinotecan,41,-0.04250871080139374,,"constant within a drug, rank undefined"
BREAST,JNK Inhibitor VIII,38,-0.015647226173541962,,"constant within a drug, rank undefined"
BREAST,JQ1,41,0.22926829268292684,,"constant within a drug, rank undefined"
BREAST,KRAS (G12C) Inhibitor-12,37,-0.08297771455666192,,"constant within a drug, rank undefined"
BREAST,KU-55933,40,-0.033395872420262665,,"constant within a drug, rank undefined"
BREAST,LCL161,37,0.10099573257467992,,"constant within a drug, rank undefined"
BREAST,LGK974,41,0.007142857142857145,,"constant within a drug, rank undefined"
BREAST,LJI308,40,-0.18686679174484055,,"constant within a drug, rank undefined"
BREAST,LY2109761,37,-0.12162162162162161,,"constant within a drug, rank undefined"
BREAST,Lapatinib,41,0.20296167247386765,,"constant within a drug, rank undefined"
BREAST,Leflunomide,37,-0.09080132764343289,,"constant within a drug, rank undefined"
BREAST,Lenalidomide,41,-0.0008710801393728224,,"constant within a drug, rank undefined"
BREAST,Lestaurtinib,41,0.35121951219512204,,"constant within a drug, rank undefined"
BREAST,Linsitinib,41,0.05731707317073171,,"constant within a drug, rank undefined"
BREAST,MG-132,42,0.17219026010858116,,"constant within a drug, rank undefined"
BREAST,MIRA-1,41,0.08501742160278748,,"constant within a drug, rank undefined"
BREAST,MK-1775,41,0.18675958188153313,,"constant within a drug, rank undefined"
BREAST,MK-2206,42,0.2554898306458148,,"constant within a drug, rank undefined"
BREAST,MK-8776,40,0.028142589118198877,,"constant within a drug, rank undefined"
BREAST,ML323,37,0.09672830725462303,,"constant within a drug, rank undefined"
BREAST,MN-64,37,-0.008297771455666191,,"constant within a drug, rank undefined"
BREAST,Methotrexate,37,0.31057373162636315,,"constant within a drug, rank undefined"
BREAST,Motesanib,41,0.053484320557491305,,"constant within a drug, rank undefined"
BREAST,NU7441,41,0.10452961672473869,,"constant within a drug, rank undefined"
BREAST,NVP-ADW742,41,-0.05000000000000001,,"constant within a drug, rank undefined"
BREAST,Navitoclax,42,-0.04270318450692813,,"constant within a drug, rank undefined"
BREAST,Nilotinib,41,-0.06289198606271779,,"constant within a drug, rank undefined"
BREAST,Niraparib,37,0.1085822664770033,,"constant within a drug, rank undefined"
BREAST,Nutlin-3a (-),42,0.18596548091726767,,"constant within a drug, rank undefined"
BREAST,OF-1,37,0.1299193930772878,,"constant within a drug, rank undefined"
BREAST,OTX015,37,0.07373162636320531,,"constant within a drug, rank undefined"
BREAST,Obatoclax Mesylate,36,0.1603603603603604,,"constant within a drug, rank undefined"
BREAST,Olaparib,41,-0.15609756097560978,,"constant within a drug, rank undefined"
BREAST,Osimertinib,41,0.1374564459930314,,"constant within a drug, rank undefined"
BREAST,Oxaliplatin,41,0.17247386759581884,,"constant within a drug, rank undefined"
BREAST,P22077,41,0.006271777003484322,,"constant within a drug, rank undefined"
BREAST,PCI-34051,37,-0.14746325272641062,,"constant within a drug, rank undefined"
BREAST,PD0325901,41,0.4783972125435541,,"constant within a drug, rank undefined"
BREAST,PD173074,42,0.11806174540150718,,"constant within a drug, rank undefined"
BREAST,PF-4708671,39,-0.2,,"constant within a drug, rank undefined"
BREAST,PFI-1,40,0.0016885553470919327,,"constant within a drug, rank undefined"
BREAST,PFI3,37,-0.08914177335229967,,"constant within a drug, rank undefined"
BREAST,PLX-4720,41,-0.1696864111498258,,"constant within a drug, rank undefined"
BREAST,PRIMA-1MET,37,0.033428165007112376,,"constant within a drug, rank undefined"
BREAST,PRT062607,37,-0.11000474158368895,,"constant within a drug, rank undefined"
BREAST,Paclitaxel,41,0.3534843205574914,,"constant within a drug, rank undefined"
BREAST,Palbociclib,42,0.14350538854225753,,"constant within a drug, rank undefined"
BREAST,Pevonedistat,41,0.07961672473867598,,"constant within a drug, rank undefined"
BREAST,Picolinici-acid,36,-0.11685971685971687,,"constant within a drug, rank undefined"
BREAST,Pictilisib,42,0.20427842152175674,,"constant within a drug, rank undefined"
BREAST,Pyridostatin,40,0.01876172607879925,,"constant within a drug, rank undefined"
BREAST,Refametinib,41,0.4545296167247388,,"constant within a drug, rank undefined"
BREAST,Ribociclib,40,0.20938086303939965,,"constant within a drug, rank undefined"
BREAST,Rucaparib,41,-0.14982578397212545,,"constant within a drug, rank undefined"
BREAST,Ruxolitinib,37,0.2420578473210052,,"constant within a drug, rank undefined"
BREAST,SB216763,40,0.11838649155722329,,"constant within a drug, rank undefined"
BREAST,SCH772984,41,0.40923344947735196,,"constant within a drug, rank undefined"
BREAST,SGC0946,40,0.0450281425891182,,"constant within a drug, rank undefined"
BREAST,SN-38,40,-0.010881801125703567,,"constant within a drug, rank undefined"
BREAST,Sabutoclax,37,0.23470839260312942,,"constant within a drug, rank undefined"
BREAST,Sapitinib,41,0.3616724738675959,,"constant within a drug, rank undefined"
