drug_name,modality,n_train,n_test,spearman,pearson,alpha
Taselisib,expression,426,54,0.42001143510577466,0.3773319097356578,1519.9110829529332
Taselisib,methylation,426,54,0.3674861825805222,0.2422697248830016,1519.9110829529332
Taselisib,mutation,426,54,0.25786163522012573,0.26586804078795473,1519.9110829529332
Taselisib,pathway,426,54,0.2942252715837621,0.2697065412231486,1519.9110829529332
Taselisib,expression+methylation,426,54,0.40781398894606435,0.31571497144067695,1519.9110829529332
Taselisib,all four,426,54,0.3072612921669525,0.2785651455654355,1519.9110829529332
EPZ5676,expression,423,54,0.7522393748808842,0.6704883776477838,1519.9110829529332
EPZ5676,methylation,423,54,0.5341337907375643,0.5772235281330206,1519.9110829529332
EPZ5676,mutation,423,54,-0.11560891938250428,-0.10472956081397918,1519.9110829529332
EPZ5676,pathway,423,54,0.8111682866399846,0.7074181551819603,4328.761281083057
EPZ5676,expression+methylation,423,54,0.7363826948732608,0.657309025126174,4328.761281083057
EPZ5676,all four,423,54,0.7499523537259385,0.6879169643224409,4328.761281083057
Dactolisib,expression,421,54,0.5089765580331617,0.49917864801456646,4328.761281083057
Dactolisib,methylation,421,54,0.2740994854202401,0.27772003115801014,1519.9110829529332
Dactolisib,mutation,421,54,0.059729369163331415,-0.02878750275820406,4328.761281083057
Dactolisib,pathway,421,54,0.4398322851153039,0.4258206665969582,12328.467394420659
Dactolisib,expression+methylation,421,54,0.4675814751286449,0.4500608936284953,4328.761281083057
Dactolisib,all four,421,54,0.4226033924147131,0.4172024723004979,12328.467394420659
Pictilisib,expression,426,54,0.32090718505812843,0.3656213387477247,1519.9110829529332
Pictilisib,methylation,426,54,0.20182961692395654,0.13848084072218794,1519.9110829529332
Pictilisib,mutation,426,54,0.2964360587002096,0.32498069778797556,4328.761281083057
Pictilisib,pathway,426,54,0.28500095292548117,0.3202799534123617,4328.761281083057
Pictilisib,expression+methylation,426,54,0.25046693348580135,0.23328215205981911,1519.9110829529332
Pictilisib,all four,426,54,0.30489803697350865,0.31624447334259376,4328.761281083057
AZD8055,expression,349,42,0.3300380844340005,0.36021068395046785,1519.9110829529332
AZD8055,methylation,349,42,0.27720606109715584,0.2278045140232755,1519.9110829529332
AZD8055,mutation,349,42,0.11125516570780328,0.1232304954815044,4328.761281083057
AZD8055,pathway,349,42,0.2953569402803663,0.29870711521286836,12328.467394420659
AZD8055,expression+methylation,349,42,0.31253545093590474,0.376570097037543,4328.761281083057
AZD8055,all four,349,42,0.32695891742970584,0.3558448371349707,12328.467394420659
PD0325901,expression,427,54,0.694987611968744,0.6782405453889914,533.6699231206308
