tissue,drug_name,n_cells,slope,sd_ratio
URINARY_TRACT,Erlotinib,15,0.5414020289547948,0.6361451256105142
URINARY_TRACT,Foretinib,15,0.03007304803470074,0.4323759554101374
URINARY_TRACT,Fulvestrant,15,0.14960863195013516,0.5028070679280146
URINARY_TRACT,GDC0810,15,0.018415273086357827,0.5535018710404782
URINARY_TRACT,GNE-317,15,0.7676875734359772,0.3105850924836761
URINARY_TRACT,GSK1904529A,15,0.4020489320409304,0.5874587066501238
URINARY_TRACT,GSK2578215A,15,0.6621529130854671,0.7715520224554206
URINARY_TRACT,GSK2606414,14,1.0538929575367122,0.4391974061186586
URINARY_TRACT,GSK2830371,14,0.5536261437622536,0.5265290481081725
URINARY_TRACT,GSK343,14,-0.20640597604875513,0.5842490889829677
URINARY_TRACT,GSK591,14,0.47886616073347593,0.4431606191430904
URINARY_TRACT,GW441756,15,0.42775937069213815,0.40239903721103704
URINARY_TRACT,Gefitinib,15,0.417662945654335,0.8625938108098807
URINARY_TRACT,Gemcitabine,15,0.2870892975141274,0.6689007664238863
URINARY_TRACT,I-BET-762,14,0.656970246346954,0.5844132374938571
URINARY_TRACT,I-BRD9,15,0.21964493981602665,0.39012647874406947
URINARY_TRACT,IWP-2,14,0.48803984621472885,0.5370139201526596
URINARY_TRACT,Ibrutinib,14,0.655736859484417,0.8153731870182908
URINARY_TRACT,Ipatasertib,15,0.9792145237968151,0.6260006393582064
URINARY_TRACT,Irinotecan,15,0.38658607212285295,0.4838775815738519
URINARY_TRACT,JNK Inhibitor VIII,15,0.20581101327269766,0.6455289986238887
URINARY_TRACT,JQ1,15,0.9032208423911225,0.36511386691527387
URINARY_TRACT,KRAS (G12C) Inhibitor-12,14,1.755312039971252,0.32608591369278184
URINARY_TRACT,KU-55933,15,-0.27099339918676363,0.43292609041179597
URINARY_TRACT,LCL161,14,0.609801406948177,0.5282860354493173
URINARY_TRACT,LGK974,15,0.6324193905804643,0.6200951924994914
URINARY_TRACT,LJI308,15,0.6034561576086988,0.42321487262846125
URINARY_TRACT,LY2109761,14,0.2705015969763306,0.47358624229719115
URINARY_TRACT,Lapatinib,15,0.7249026450117875,0.7029834073916456
URINARY_TRACT,Leflunomide,14,0.6351614943187714,0.44323765351273825
URINARY_TRACT,Lenalidomide,15,0.6419664992560905,0.6653124206577489
URINARY_TRACT,Lestaurtinib,15,-0.4180461131249826,0.25166874362296837
URINARY_TRACT,Linsitinib,15,0.6062124530987749,0.5918359781272116
URINARY_TRACT,MG-132,15,-1.0283645953502945,0.4586676947037827
URINARY_TRACT,MIRA-1,15,0.15353921695388562,0.413632048100624
URINARY_TRACT,MK-1775,15,0.09708887262680045,0.38819601202425263
URINARY_TRACT,MK-2206,15,0.8248911662184238,0.6799494570835083
URINARY_TRACT,MK-8776,15,-0.028201903503903707,0.8323467380940588
URINARY_TRACT,ML323,14,0.7969156754761362,0.6444996457982705
URINARY_TRACT,MN-64,14,0.44187889334606595,0.4924792777529544
URINARY_TRACT,Methotrexate,15,1.4776886554987343,0.14663724639302814
URINARY_TRACT,Motesanib,15,0.9022255264419891,0.6675937953559092
URINARY_TRACT,NU7441,15,0.05263271802239069,0.5220057644318477
URINARY_TRACT,NVP-ADW742,15,1.0782688406702055,0.4736180046946282
URINARY_TRACT,Navitoclax,15,-0.16852204230368809,0.5189067443960839
URINARY_TRACT,Nilotinib,15,-0.1495337113863375,0.5682392865318314
URINARY_TRACT,Niraparib,14,0.25488347693255636,0.37654172285535953
URINARY_TRACT,Nutlin-3a (-),15,1.1923253877538222,0.4728790505994814
URINARY_TRACT,OF-1,14,0.14205604208168823,0.532275236280767
URINARY_TRACT,OTX015,14,0.9573624736086113,0.5072190386174099
URINARY_TRACT,Obatoclax Mesylate,14,-0.021975060119017807,0.29189660880044893
URINARY_TRACT,Olaparib,15,0.3178235579268501,0.3587194084833217
URINARY_TRACT,Osimertinib,15,0.5209333231531682,0.9231125387409322
URINARY_TRACT,Oxaliplatin,15,0.686497248898201,0.43591611770058764
URINARY_TRACT,P22077,15,1.0772596162369499,0.30245274849299714
URINARY_TRACT,PCI-34051,14,0.2377459622895562,0.6377967830652379
URINARY_TRACT,PD0325901,15,0.8812059235768762,0.7645497048078272
URINARY_TRACT,PD173074,15,0.6460895741243373,0.22334975909902932
URINARY_TRACT,PFI-1,15,1.015135180751781,0.4177316567835651
URINARY_TRACT,PFI3,14,0.4064468645542221,0.7312692511564002
URINARY_TRACT,PLX-4720,15,0.38220352440398797,0.49207005994475694
URINARY_TRACT,PRIMA-1MET,14,-0.3100037552865539,0.4260168917972
URINARY_TRACT,PRT062607,14,0.8770300197640916,0.5845245008520011
URINARY_TRACT,Paclitaxel,15,1.1975914681317184,0.33198633022213775
URINARY_TRACT,Palbociclib,15,0.6889157751585602,0.5296126208393209
URINARY_TRACT,Pevonedistat,15,0.41784971591079945,0.4438304018991449
URINARY_TRACT,Picolinici-acid,14,0.28271442140268904,0.714694147731446
URINARY_TRACT,Pictilisib,15,0.669291293341095,0.652912191022668
URINARY_TRACT,Pyridostatin,15,0.6342262225615438,0.29278212068201526
URINARY_TRACT,Refametinib,15,0.8659827943095657,0.7185348618851952
URINARY_TRACT,Ribociclib,14,1.0297069157764003,0.4411362626601997
URINARY_TRACT,Rucaparib,15,1.1075897342409535,0.4133741999512994
URINARY_TRACT,Ruxolitinib,14,0.5305469847894423,0.45235689645101274
URINARY_TRACT,SB216763,15,0.728040926135448,0.6175722432444842
URINARY_TRACT,SCH772984,15,1.0331476353544176,0.6174190185210993
URINARY_TRACT,SGC0946,15,0.7978582419674143,0.27518115006962257
